date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-01-01,19.92,31.58,10.23,18.48,0.0,0.9,1.7,0.5,39.4,0.19,0.24,0.26
2014-01-02,20.21,29.8,12.59,15.86,0.0,1.07,1.85,0.62,43.7,0.19,0.24,0.26
2014-01-03,20.56,30.12,12.44,16.93,0.0,1.33,2.46,0.76,45.2,0.18,0.24,0.26
2014-01-04,20.51,30.72,12.47,19.74,0.0,1.34,2.46,0.72,52.8,0.18,0.24,0.26
2014-01-05,20.17,29.41,12.13,22.8,0.0,1.23,2.1,0.65,55.0,0.18,0.24,0.26
2014-01-06,19.96,29.13,13.14,24.67,0.0,1.28,2.22,0.69,59.8,0.19,0.24,0.26
2014-01-07,20.46,30.48,12.45,24.61,0.0,1.27,2.44,0.71,64.7,0.19,0.24,0.26
2014-01-08,20.77,30.83,12.34,24.69,0.0,1.33,2.42,0.75,55.1,0.19,0.24,0.26
2014-01-09,20.48,30.48,12.03,21.93,0.0,1.34,2.26,0.77,58.8,0.19,0.24,0.26
2014-01-10,20.38,29.59,12.96,22.86,0.0,1.54,2.52,0.91,58.4,0.18,0.24,0.26
2014-01-11,19.61,27.52,13.0,24.21,0.0,1.49,2.41,0.68,57.8,0.19,0.24,0.26
2014-01-12,20.79,30.0,14.97,22.72,0.0,1.45,2.05,0.68,57.9,0.19,0.24,0.26
2014-01-13,19.73,30.3,12.15,21.18,0.0,1.08,1.88,0.65,48.4,0.19,0.24,0.26
2014-01-14,19.51,32.28,8.94,17.9,0.0,0.79,1.41,0.27,49.9,0.18,0.24,0.26
2014-01-15,21.27,33.73,10.68,18.07,0.0,0.75,1.22,0.41,76.6,0.18,0.24,0.25
2014-01-16,22.27,34.24,12.44,19.09,0.0,0.99,1.69,0.55,72.0,0.18,0.24,0.25
2014-01-17,22.41,34.2,12.28,20.25,0.0,1.14,2.12,0.55,73.9,0.18,0.24,0.25
2014-01-18,23.19,34.11,14.13,19.85,0.0,1.23,2.08,0.65,66.3,0.18,0.24,0.25
2014-01-19,23.75,35.21,14.09,18.91,0.0,1.04,1.69,0.52,70.6,0.18,0.24,0.25
2014-01-20,23.44,34.87,13.89,15.69,0.0,1.08,1.78,0.58,63.4,0.17,0.24,0.25
2014-01-21,22.51,34.17,13.11,13.84,0.0,1.0,1.62,0.54,55.3,0.17,0.23,0.25
2014-01-22,21.84,34.45,11.6,13.85,0.0,1.0,2.1,0.5,66.2,0.17,0.23,0.25
2014-01-23,21.78,34.27,11.88,14.89,0.0,0.87,1.64,0.65,66.0,0.17,0.23,0.25
2014-01-24,22.92,34.92,13.56,16.78,0.0,0.88,1.58,0.57,52.3,0.17,0.23,0.25
2014-01-25,23.41,34.79,13.58,15.93,0.0,0.89,1.61,0.52,34.2,0.17,0.23,0.25
2014-01-26,24.12,35.51,15.65,13.0,0.0,0.87,1.44,0.38,29.7,0.17,0.23,0.25
2014-01-27,24.78,35.25,15.93,19.72,0.0,1.02,1.6,0.59,32.2,0.17,0.23,0.25
2014-01-28,22.88,33.02,14.31,20.56,0.0,1.01,1.98,0.48,69.9,0.17,0.23,0.25
2014-01-29,24.09,34.22,17.0,19.92,0.0,1.12,2.15,0.51,90.7,0.17,0.23,0.25
2014-01-30,25.35,36.15,16.04,21.87,0.0,0.84,1.63,0.41,109.4,0.17,0.23,0.25
2014-01-31,27.13,36.27,19.42,46.8,0.05,0.65,1.8,0.09,326.3,0.18,0.23,0.25
2014-02-01,26.16,34.04,20.32,40.83,0.15,1.37,2.42,0.49,332.7,0.18,0.23,0.25
2014-02-02,23.71,31.46,17.79,22.55,0.0,1.43,2.43,0.77,27.8,0.18,0.23,0.25
2014-02-03,22.85,32.21,14.99,19.28,0.0,1.13,1.89,0.66,48.7,0.18,0.23,0.25
2014-02-04,23.37,33.08,15.03,18.52,0.0,1.46,2.2,0.79,47.5,0.17,0.23,0.25
2014-02-05,23.82,32.84,15.79,17.69,0.0,1.77,2.9,0.95,43.9,0.17,0.23,0.24
2014-02-06,24.4,33.85,16.63,22.18,0.0,1.67,2.97,0.85,45.1,0.17,0.23,0.24
2014-02-07,23.8,32.86,16.68,18.53,0.0,1.37,2.46,0.71,51.1,0.17,0.23,0.24
2014-02-08,23.21,33.09,15.03,16.89,0.0,1.31,2.45,0.73,50.8,0.17,0.23,0.24
2014-02-09,23.83,33.21,15.74,15.42,0.0,1.53,2.55,0.95,47.3,0.16,0.23,0.24
2014-02-10,23.88,34.19,15.19,18.47,0.0,1.23,2.32,0.65,58.1,0.16,0.23,0.24
2014-02-11,24.01,33.67,15.63,17.53,0.0,1.43,2.57,0.77,55.8,0.16,0.23,0.24
2014-02-12,24.08,34.05,14.95,15.45,0.0,1.5,2.45,0.65,49.4,0.16,0.23,0.24
2014-02-13,22.93,33.09,13.51,11.76,0.0,1.68,2.77,0.83,49.8,0.16,0.23,0.24
2014-02-14,21.29,31.38,12.58,12.7,0.0,1.7,3.15,0.83,56.4,0.16,0.23,0.24
2014-02-15,21.46,31.46,13.23,13.7,0.0,1.63,2.97,0.84,63.1,0.16,0.22,0.24
2014-02-16,21.67,32.05,13.12,12.11,0.0,1.26,2.28,0.67,62.0,0.16,0.22,0.24
2014-02-17,22.66,33.48,14.21,10.47,0.0,1.32,2.34,0.73,67.7,0.16,0.22,0.24
2014-02-18,23.21,34.61,13.95,13.19,0.0,1.26,2.38,0.67,65.4,0.15,0.22,0.24
2014-02-19,23.61,35.44,13.8,16.38,0.0,0.92,1.96,0.5,69.4,0.16,0.22,0.24
2014-02-20,24.85,36.66,15.46,15.09,0.0,0.76,1.36,0.51,80.2,0.16,0.22,0.24
2014-02-21,26.33,37.67,18.22,15.25,0.0,0.88,1.3,0.33,66.3,0.16,0.22,0.24
2014-02-22,25.93,37.38,15.66,13.78,0.0,1.27,2.41,0.6,57.4,0.16,0.22,0.24
2014-02-23,26.41,36.9,17.99,12.4,0.0,1.5,2.16,0.86,50.0,0.15,0.22,0.24
